년,월,브랜드,판매량
2024,1,기아,44683
2024,1,현대,38771
2024,1,테슬라,1
2024,2,기아,44068
2024,2,현대,37071
2024,2,테슬라,174
2024,3,현대,50665
2024,3,기아,49112
2024,3,테슬라,6025
2024,4,현대,51949
2024,4,기아,47631
2024,4,테슬라,1722
2024,5,현대,52064
2024,5,기아,46111
2024,5,테슬라,4165
2024,6,현대,47699
2024,6,기아,44284
2024,6,테슬라,5293
2024,7,기아,46238
2024,7,현대,45306
2024,7,테슬라,2680
2024,8,현대,47764
2024,8,기아,40684
2024,8,테슬라,2208
2024,9,현대,45167
2024,9,기아,38269
2024,9,테슬라,1349
2024,10,현대,54257
2024,10,기아,46410
2024,10,테슬라,1263
2024,11,현대,52219
2024,11,기아,48192
2024,11,테슬라,3618
2024,12,현대,51713
2024,12,기아,46332
2024,12,테슬라,1252
2025,1,기아,38412
2025,1,현대,37230
2025,1,테슬라,5
2025,2,현대,46993
2025,2,기아,46046
2025,2,테슬라,2222
2025,3,현대,52500
2025,3,기아,50105
2025,3,테슬라,2591
2025,4,현대,55805
2025,4,기아,51085
2025,4,테슬라,1447
2025,5,현대,49449
2025,5,기아,45125
2025,5,테슬라,6570
2025,6,현대,51610
2025,6,기아,46325
2025,6,테슬라,6377
2025,7,현대,48000
2025,7,기아,45133
2025,7,테슬라,7357
2025,8,현대,49019
2025,8,기아,43675
2025,8,테슬라,7974
2025,9,현대,56463
2025,9,기아,49201
2025,9,테슬라,9069
2025,10,현대,44762
2025,10,기아,40344
2025,10,테슬라,4350
2025,11,현대,49543
2025,11,기아,47925
2025,11,테슬라,7632
2025,12,현대,52986
2025,12,기아,44831
2025,12,테슬라,4322
2026,1,기아,43129
2026,1,현대,41537
2026,1,테슬라,1966
2026,2,기아,42066
2026,2,현대,40066
2026,2,테슬라,7868
2026,3,기아,56468
2026,3,현대,51404
2026,3,테슬라,11130
2026,4,기아,55108
2026,4,현대,47171
2026,4,테슬라,13190
2026,5,기아,44727
2026,5,현대,39203
2026,5,테슬라,10866
