년,월,브랜드,순위,모델,판매량
2024,1,현대,1,싼타페,8014
2024,1,현대,2,투싼,5152
2024,1,현대,3,포터2,4923
2024,1,현대,4,아반떼,4392
2024,1,현대,5,그랜저,3635
2024,1,현대,6,캐스퍼,3006
2024,1,현대,7,스타리아,2996
2024,1,현대,8,코나,1972
2024,1,현대,9,팰리세이드,1741
2024,1,현대,10,버스/트럭 (현대),1075
2024,1,기아,1,쏘렌토,9284
2024,1,기아,2,카니발,7049
2024,1,기아,3,스포티지,5934
2024,1,기아,4,레이,4020
2024,1,기아,5,셀토스,3944
2024,1,기아,6,K5,3336
2024,1,기아,7,봉고 3,3130
2024,1,기아,8,K8,2917
2024,1,기아,9,K3,1419
2024,1,기아,10,니로,1220
2024,1,테슬라,1,Model Y,1
2024,2,현대,1,싼타페,7413
2024,2,현대,2,포터2,6093
2024,2,현대,3,그랜저,3963
2024,2,현대,4,캐스퍼,3118
2024,2,현대,5,투싼,3070
2024,2,현대,6,스타리아,2878
2024,2,현대,7,팰리세이드,2365
2024,2,현대,8,아반떼,2230
2024,2,현대,9,쏘나타 디 엣지,1397
2024,2,현대,10,코나,1397
2024,2,기아,1,쏘렌토,8671
2024,2,기아,2,카니발,7989
2024,2,기아,3,스포티지,6991
2024,2,기아,4,셀토스,3967
2024,2,기아,5,레이,3160
2024,2,기아,6,K5,2970
2024,2,기아,7,봉고 3,2957
2024,2,기아,8,K8,2165
2024,2,기아,9,K3,1315
2024,2,기아,10,모닝,1140
2024,2,테슬라,1,Model X,87
2024,2,테슬라,2,Model Y,77
2024,2,테슬라,3,Model S,10
2024,3,현대,1,싼타페,7884
2024,3,현대,2,그랜저,6100
2024,3,현대,3,포터2,5257
2024,3,현대,4,아반떼,4113
2024,3,현대,5,쏘나타 디 엣지,4074
2024,3,현대,6,투싼,3524
2024,3,현대,7,캐스퍼,3442
2024,3,현대,8,스타리아,3123
2024,3,현대,9,포터2 일렉트릭,2775
2024,3,현대,10,코나,2395
2024,3,기아,1,쏘렌토,8974
2024,3,기아,2,카니발,7643
2024,3,기아,3,스포티지,6736
2024,3,기아,4,셀토스,4748
2024,3,기아,5,K5,3577
2024,3,기아,6,봉고 3,3510
2024,3,기아,7,레이,3172
2024,3,기아,8,K8,2016
2024,3,기아,9,레이 EV,1520
2024,3,기아,10,K3,1460
2024,3,테슬라,1,Model Y,5934
2024,3,테슬라,2,Model X,44
2024,3,테슬라,3,Model S,32
2024,3,테슬라,4,Model 3,15
2024,4,현대,1,그랜저,7085
2024,4,현대,2,싼타페,5847
2024,4,현대,3,포터2,5748
2024,4,현대,4,아반떼,5698
2024,4,현대,5,스타리아,4844
2024,4,현대,6,쏘나타 디 엣지,4695
2024,4,현대,7,투싼,4262
2024,4,현대,8,캐스퍼,3549
2024,4,현대,9,코나,2528
2024,4,현대,10,팰리세이드,1789
2024,4,기아,1,쏘렌토,7865
2024,4,기아,2,스포티지,7179
2024,4,기아,3,카니발,6879
2024,4,기아,4,셀토스,5025
2024,4,기아,5,봉고 3,3980
2024,4,기아,6,레이,3244
2024,4,기아,7,K5,3168
2024,4,기아,8,K8,1988
2024,4,기아,9,니로,1597
2024,4,기아,10,모닝,1421
