구분,타입,순위,브랜드명,모델명,등록량
20대 이하,모델,1,기아,더 뉴쏘렌토 하이브리드(MQ4),508
20대 이하,모델,2,테슬라,모델 Y,496
20대 이하,모델,3,현대,더 뉴아반떼(CN7),452
20대 이하,모델,4,기아,더 뉴스포티지,398
20대 이하,모델,5,테슬라,모델 3,343
20대 이하,모델,6,현대,쏘나타 디 엣지,310
20대 이하,모델,7,기아,디 올뉴셀토스,293
20대 이하,모델,8,기아,EV3,243
20대 이하,모델,9,현대,디 올뉴코나,199
20대 이하,모델,10,현대,더 뉴투싼,150
20대 이하,모델,11,기아,EV5,146
20대 이하,모델,12,현대,더 뉴투싼 하이브리드,139
20대 이하,모델,13,현대,디 올뉴싼타페 하이브리드,125
20대 이하,모델,14,기아,더 뉴모닝(JA),124
20대 이하,모델,15,르노코리아,필랑트,123
20대 이하,모델,16,기아,더 뉴스포티지 하이브리드,123
20대 이하,모델,17,기아,더 뉴K5(DL3),118
20대 이하,모델,18,기아,EV4,112
20대 이하,모델,19,기아,더 뉴봉고Ⅲ화물,109
20대 이하,모델,20,기아,디 올뉴셀토스 하이브리드,102
20대 이하,모델,21,현대,디 올뉴그랜저 하이브리드,101
20대 이하,모델,22,현대,포터II,95
20대 이하,모델,23,현대,베뉴,91
20대 이하,모델,24,BMW,5시리즈(8세대),83
20대 이하,모델,25,제네시스,신형 GV70,81
20대 이하,모델,26,기아,더 뉴쏘렌토(MQ4),78
20대 이하,모델,27,기아,더 뉴기아 레이,75
20대 이하,모델,28,현대,더 뉴아이오닉 5,70
20대 이하,모델,29,현대,캐스퍼 일렉트릭,69
20대 이하,모델,30,기아,더 뉴니로(SG2),66
30대,모델,1,테슬라,모델 Y,2947
30대,모델,2,기아,더 뉴쏘렌토 하이브리드(MQ4),2056
30대,모델,3,기아,더 뉴스포티지,760
30대,모델,4,테슬라,모델 3,725
30대,모델,5,현대,디 올뉴싼타페 하이브리드,611
30대,모델,6,기아,더 뉴카니발 하이브리드(KA4),541
30대,모델,7,르노코리아,필랑트,522
30대,모델,8,기아,EV5,473
30대,모델,9,기아,EV3,472
30대,모델,10,현대,쏘나타 디 엣지,359
30대,모델,11,현대,디 올뉴그랜저 하이브리드,350
30대,모델,12,현대,포터II,322
30대,모델,13,현대,더 뉴아반떼(CN7),320
30대,모델,14,기아,더 뉴기아 레이,308
30대,모델,15,기아,디 올뉴셀토스,306
30대,모델,16,제네시스,신형 GV70,303
30대,모델,17,기아,더 뉴봉고Ⅲ화물,281
30대,모델,18,기아,PV5,281
30대,모델,19,BMW,5시리즈(8세대),269
30대,모델,20,기아,더 뉴모닝(JA),258
30대,모델,21,현대,더 뉴투싼 하이브리드,252
30대,모델,22,현대,디 올뉴팰리세이드 하이브리드,222
30대,모델,23,기아,더 뉴쏘렌토(MQ4),217
30대,모델,24,현대,디 올뉴그랜저,214
30대,모델,25,현대,캐스퍼 일렉트릭,204
30대,모델,26,현대,디 올뉴코나,202
30대,모델,27,현대,아이오닉 9,193
30대,모델,28,르노코리아,그랑 콜레오스 하이브리드,181
30대,모델,29,현대,더 뉴투싼,180
30대,모델,30,제네시스,뉴 GV80,178
40대,모델,1,테슬라,모델 Y,2804
40대,모델,2,기아,더 뉴쏘렌토 하이브리드(MQ4),1931
40대,모델,3,기아,EV5,787
40대,모델,4,기아,더 뉴카니발 하이브리드(KA4),762
40대,모델,5,르노코리아,필랑트,747
40대,모델,6,테슬라,모델 3,691
40대,모델,7,기아,EV3,665
40대,모델,8,기아,PV5,657
40대,모델,9,현대,디 올뉴그랜저 하이브리드,641
40대,모델,10,현대,포터II,599
40대,모델,11,기아,더 뉴기아 레이,502
40대,모델,12,기아,더 뉴스포티지,500
40대,모델,13,현대,디 올뉴싼타페 하이브리드,457
40대,모델,14,기아,더 뉴모닝(JA),439
40대,모델,15,기아,더 뉴봉고Ⅲ화물,438
40대,모델,16,현대,디 올뉴그랜저,428
40대,모델,17,현대,디 올뉴팰리세이드 하이브리드,424
40대,모델,18,현대,쏘나타 디 엣지,405
40대,모델,19,현대,아이오닉 9,385
40대,모델,20,BMW,5시리즈(8세대),362
40대,모델,21,기아,디 올뉴셀토스,340
40대,모델,22,제네시스,신형 GV70,327
40대,모델,23,현대,더 뉴아이오닉 5,322
40대,모델,24,현대,더 뉴아반떼(CN7),314
40대,모델,25,BYD,돌핀,294
40대,모델,26,르노코리아,그랑 콜레오스 하이브리드,281
40대,모델,27,기아,더 뉴쏘렌토(MQ4),269
40대,모델,28,제네시스,뉴 G80,254
40대,모델,29,기아,EV4,238
40대,모델,30,벤츠,E클래스(6세대),229
50대,모델,1,기아,더 뉴쏘렌토 하이브리드(MQ4),2425
50대,모델,2,현대,포터II,1062
50대,모델,3,테슬라,모델 Y,994
50대,모델,4,현대,디 올뉴그랜저 하이브리드,931
50대,모델,5,르노코리아,필랑트,866
50대,모델,6,기아,더 뉴스포티지,803
50대,모델,7,현대,쏘나타 디 엣지,767
50대,모델,8,기아,더 뉴모닝(JA),756
50대,모델,9,기아,EV5,678
50대,모델,10,현대,디 올뉴그랜저,668
50대,모델,11,기아,더 뉴봉고Ⅲ화물,627
50대,모델,12,기아,PV5,591
50대,모델,13,현대,더 뉴아반떼(CN7),589
50대,모델,14,기아,디 올뉴셀토스,525
50대,모델,15,기아,더 뉴카니발 하이브리드(KA4),472
50대,모델,16,기아,EV3,458
50대,모델,17,제네시스,뉴 G80,440
50대,모델,18,현대,디 올뉴팰리세이드 하이브리드,431
50대,모델,19,기아,더 뉴쏘렌토(MQ4),412
50대,모델,20,기아,더 뉴기아 레이,402
50대,모델,21,테슬라,모델 3,392
50대,모델,22,KG모빌리티,무쏘(Q300),390
50대,모델,23,제네시스,신형 GV70,379
50대,모델,24,현대,디 올뉴싼타페 하이브리드,375
50대,모델,25,현대,더 뉴투싼,367
50대,모델,26,현대,더 뉴투싼 하이브리드,332
50대,모델,27,르노코리아,그랑 콜레오스 하이브리드,329
50대,모델,28,현대,더 뉴아이오닉 5,313
50대,모델,29,현대,디 올뉴코나,312
50대,모델,30,제네시스,뉴 GV80,300
60대,모델,1,기아,더 뉴쏘렌토 하이브리드(MQ4),1476
60대,모델,2,현대,쏘나타 디 엣지,1048
60대,모델,3,현대,포터II,776
60대,모델,4,기아,더 뉴스포티지,628
60대,모델,5,기아,더 뉴모닝(JA),584
60대,모델,6,기아,더 뉴봉고Ⅲ화물,504
60대,모델,7,현대,디 올뉴그랜저 하이브리드,482
60대,모델,8,현대,더 뉴아반떼(CN7),420
60대,모델,9,현대,디 올뉴그랜저,404
60대,모델,10,현대,더 뉴투싼,374
60대,모델,11,기아,디 올뉴셀토스,364
60대,모델,12,현대,더 뉴투싼 하이브리드,357
60대,모델,13,KG모빌리티,무쏘(Q300),354
60대,모델,14,기아,EV5,314
60대,모델,15,기아,PV5,314
60대,모델,16,제네시스,뉴 G80,305
60대,모델,17,르노코리아,필랑트,296
60대,모델,18,현대,디 올뉴팰리세이드 하이브리드,293
60대,모델,19,현대,디 올뉴코나,285
60대,모델,20,현대,디 올뉴싼타페 하이브리드,282
60대,모델,21,제네시스,신형 GV70,278
60대,모델,22,기아,더 뉴K5(DL3),274
60대,모델,23,기아,더 뉴카니발 하이브리드(KA4),268
60대,모델,24,기아,더 뉴쏘렌토(MQ4),255
60대,모델,25,현대,더 뉴아이오닉 5,250
60대,모델,26,테슬라,모델 Y,248
60대,모델,27,현대,더 뉴스타리아 하이브리드,216
60대,모델,28,기아,더 뉴기아 레이,216
60대,모델,29,기아,EV3,205
60대,모델,30,기아,디 올뉴셀토스 하이브리드,204
70대 이상,모델,1,현대,쏘나타 디 엣지,419
70대 이상,모델,2,기아,더 뉴쏘렌토 하이브리드(MQ4),213
70대 이상,모델,3,현대,포터II,170
70대 이상,모델,4,기아,더 뉴스포티지,162
70대 이상,모델,5,기아,더 뉴K5(DL3),150
70대 이상,모델,6,기아,더 뉴모닝(JA),148
70대 이상,모델,7,현대,더 뉴아반떼(CN7),127
70대 이상,모델,8,기아,디 올뉴셀토스,103
70대 이상,모델,9,현대,더 뉴투싼,98
70대 이상,모델,10,현대,디 올뉴그랜저,91
70대 이상,모델,11,현대,디 올뉴코나,77
70대 이상,모델,12,기아,더 뉴봉고Ⅲ화물,76
70대 이상,모델,13,제네시스,뉴 G80,74
70대 이상,모델,14,현대,더 뉴아이오닉 5,70
70대 이상,모델,15,현대,디 올뉴그랜저 하이브리드,68
70대 이상,모델,16,기아,PV5,68
70대 이상,모델,17,KG모빌리티,무쏘(Q300),63
70대 이상,모델,18,현대,더 뉴투싼 하이브리드,62
70대 이상,모델,19,기아,더 뉴기아 레이,62
70대 이상,모델,20,기아,EV5,62
70대 이상,모델,21,기아,EV3,59
70대 이상,모델,22,기아,더 뉴쏘렌토(MQ4),57
70대 이상,모델,23,제네시스,신형 GV70,54
70대 이상,모델,24,현대,베뉴,47
70대 이상,모델,25,기아,더 뉴카니발 하이브리드(KA4),41
70대 이상,모델,26,현대,디 올뉴싼타페 하이브리드,41
70대 이상,모델,27,기아,디 올뉴셀토스 하이브리드,39
70대 이상,모델,28,현대,디 올뉴팰리세이드 하이브리드,38
70대 이상,모델,29,기아,EV4,38
70대 이상,모델,30,현대,더 뉴스타리아 하이브리드,37
20대 이하,브랜드,1,기아,-,2820
20대 이하,브랜드,2,현대,-,2302
20대 이하,브랜드,3,테슬라,-,841
20대 이하,브랜드,4,BMW,-,261
20대 이하,브랜드,5,르노코리아,-,213
20대 이하,브랜드,6,제네시스,-,146
20대 이하,브랜드,7,KG모빌리티,-,107
20대 이하,브랜드,8,벤츠,-,104
20대 이하,브랜드,9,BYD,-,90
20대 이하,브랜드,10,쉐보레,-,56
20대 이하,브랜드,11,아우디,-,32
20대 이하,브랜드,12,토요타,-,30
20대 이하,브랜드,13,볼보,-,28
20대 이하,브랜드,14,폭스바겐,-,20
20대 이하,브랜드,15,미니,-,19
20대 이하,브랜드,16,폴스타,-,11
20대 이하,브랜드,17,렉서스,-,8
20대 이하,브랜드,18,지프,-,7
20대 이하,브랜드,19,포드,-,6
20대 이하,브랜드,20,포르쉐,-,5
20대 이하,브랜드,21,랜드로버,-,4
20대 이하,브랜드,22,링컨,-,1
20대 이하,브랜드,23,페라리,-,1
20대 이하,브랜드,24,푸조,-,1
20대 이하,브랜드,25,혼다,-,1
20대 이하,브랜드,26,DFSK(동풍자동차),-,1
20대 이하,브랜드,27,GMC,-,1
30대,브랜드,1,기아,-,14146
30대,브랜드,2,현대,-,13713
30대,브랜드,3,기아,-,7325
30대,브랜드,4,현대,-,4522
30대,브랜드,5,테슬라,-,3704
30대,브랜드,6,쉐보레,-,3142
30대,브랜드,7,BMW,-,2293
30대,브랜드,8,르노코리아,-,2069
30대,브랜드,9,제네시스,-,1887
