브랜드,카테고리,질문,답변
현대,차량구매,"보유중인 자동차를 팔고 싶은데, 어떻게 하면 좋을까요?",현대 인증중고차 (certified.hyundai.com) 의 내차팔기 서비스를 통해 판매할 수 있습니다.
현대,차량구매,폐차 의뢰 및 신청은 어떻게 하나요?,서비스/멤버십 > 내차 항목의 '친환경 폐차 신청'으로 들어가셔서 신청하시는 것이 가장 신속하고 정확합니다. 인터넷 신청이 불편하시면 유선전화 (1544-2738)로 문의하셔서 폐차 신청을 할 수 있습니다.
현대,차량구매,차량구입시 신용카드는 얼마까지 이용할 수 있나요?,"자동차 구입시 신용카드를 이용한 결제는 고객님 신용카드 한도내에서 희망하시는 금액
     까지 자유로이 결제가 가능합니다."
현대,차량구매,차량구입시 신용카드는 복수의 카드로 결제가 가능한가요?,"예, 가능합니다. 신용카드 갯수에 제한없이 결제가 가능합니다."
현대,차량구매,차량에 부과되는 세금은 어떤 종류가 있나요?,"현행 자동차관련 세금항목은 다음과 같습니다.

① 구입단계 : 개별소비세(8인승 이하 승용차限), 교육세(개소세의 30%), 부가가치세
② 등록단계 : 등록세,취득세
③ 소유단계 : 자동차세(연단위 부여)
④ 유류관련 : 교통세, 주행세, 교육세, 부가가치세
⑤ 기타 : 공채매입, 환경개선비용부담금(해당자동차限)"
현대,차량구매,신차 구매 시 타던 차량을 반납하면 신차 할인 받을 수 있나요?,현대 인증중고차의 내차팔기 서비스와 연계하여 신차 할인과 중고차 추가 보상 혜택을 받을 수 있습니다.
현대,차량구매,차량구입시 의무보험료란 금액을 납부하였습니다. 이것은 어떤 종류의 보험인가요?,"의무보험은 차량이 출고센터를 동해 출고되어 임시운행기간동안에만 유효한 보험입니다.

이는 임시운행 기간중 발생되는 교통사고 피해자의 피해배상 보장을 위한 자동차 손해배상
보장법 개정으로 임시운행허가 차량의 의무보험 가입이 법제화 되었습니다.

보상책임기간은 출고일부터 임시운행허가 기간인 10일(기간 만료일 24시까지)동안이고
보험료는 차종별 정액보험료가 적용됩니다. (대부분의 경우 1만원 이내)

따라서 차량을 구입하신 고객께서는 임시운행허가기간 종료 이전에 1년만기 책임보험,
혹은 종합보험에 반드시 가입하셔야 합니다.

의무보험은 1회 소멸성 보험으로 임시운행증을 반납하거나 다른 책임보험에
가입하시는 경우 자동으로 해지가 됩니다."
현대,차량구매,현대자동차 차량을 구입하려면 어떻게 해야하나요?,"현대자동차에서는 전국 정식 지점/대리점을 통해서만 차량을 판매하고 있습니다.
그 이외의 유통경로(인터넷 등)로는 차량 공급이 되지 않사오니 차량 구입시 주의해주시기
바라며 전국 어느곳에서나 같은 제품,같은 가격으로 바른거래를 실천하고 있습니다.

참고로, 현대자동차 홈페이지 구매상담 신청을 이용시
고객님께서 원하시는 지점,대리점을 선택하여 상담신청을 하시면 현대자동차의 전문영업사원이
신속하고 친절하게 차량구매에 관한 모든 궁금증을 해결해 드리겠습니다."
현대,차량구매,차량대금을 신용카드로 결제할 경우 소득공제가 가능한가요?,"불가능합니다.

조세특례제한법 제126조 3항 3호에 의거하여 신규로 출고되는 자동차 구입시 사용한 신용카드 금액은 소득공제 대상에서 제외됩니다.(2002년 12월1일 승인분부터 적용)"
현대,차량구매,자동차 리스로 차를 구매하고 싶어요,자동차 리스는 고객의 다양한 Needs에 맞는 맞춤형 상품 구입이 가능합니다 자동차 리스도 할부나 현금구매와 동일하게 현대자동차 영업사원에게 문의하시면 됩니다.
